"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","surface_habitable_logement","adresse_ban","type_energie_n1","conso_chauffage_ef","conso_ecs_ef","conso_refroidissement_ef","conso_eclairage_ef","conso_auxiliaires_ef","conso_chauffage_ep","conso_ecs_ep","conso_refroidissement_ep","conso_eclairage_ep","conso_auxiliaires_ep","cout_chauffage","cout_ecs","cout_refroidissement","cout_eclairage","cout_auxiliaires","type_dpe"
"2101N0060804A","2021-07-18","A","maison",163.5,"Rue de la Fruitière 01630 Péron","Électricité",2411,1357,0,303.9,81,5545.3,4400.8,0,699,186.4,572,322,0,72,19,"existant"
"2101N0120727T","2021-07-29","A","maison",117.8,"Rue du Saugey 01300 Virignin","Électricité",1469,560,0,237.8,14,3378.7,1816.1,0,547,32.2,409,156,0,66,4,"existant"
"2101N0081425D","2021-07-21","A","maison",132.3,"Les Blancs d'En Haut 01851 Marboz","Électricité",2052,543,0,286.7,90.5,4719.6,1760.9,0,659.4,208.2,531,140,0,74,23,"existant"
"2101N0084952U","2021-07-22","B","maison",106,"L’Oree du Village 01480 Fareins","Gaz naturel",5913,1787,0,210.2,26.3,5981.9,2519.7,0,483.6,60.4,631,258,0,77,10,"existant"
"2101N0128851F","2021-08-01","B","maison",71.9,"Route de Barbery 01560 Saint-Jean-sur-Reyssouze","Électricité",1645.3,537,0,138.6,0,3784.3,1741.5,0,318.7,0,457.4,149.3,0,32.2,0,"existant"
"2101N0107115F","2021-07-27","B","maison",115.5,"Grand Etang de Servas 01960 Servas","Gaz naturel",2376,1874,0,224.4,39.6,3200.2,2666.2,0,516.1,91.1,482,273,0,82,14,"existant"
"2101N0055508I","2021-07-06","C","maison",115.6,"Lotissement le Clos du Midi 01600 Reyrieux","Gaz naturel",4924,1721,0,239.9,28.2,4942.2,2452.3,0,551.7,64.9,634,224,0,87,10,"existant"
"2101N0054920S","2021-07-15","A","maison",90.8,"Rue de Béligneux 01800 Bourg-Saint-Christophe","Électricité",1758,560,0,190.4,0,4043.4,1816.1,0,437.9,0,479,152,0,52,0,"existant"
"2101N0060598C","2021-07-18","B","maison",104,"Rue de la Gare 01250 Simandre-sur-Suran","Bois – Granulés (pellets) ou briquettes",4539,564,0,208.6,0,6516.3,1829.1,0,479.8,0,604,157,0,58,0,"existant"
"2101N0143012W","2021-07-29","A","maison",135,"Chemin de Colonge 01290 Laiz","Électricité",2129,558,0,287.3,33.8,4896.7,1809.6,0,660.8,77.7,549,144,0,74,9,"existant"
"2101N0085081T","2021-07-22","A","maison",125.8,"Route de Mury 01170 Echenevex","Électricité",2035,620,0,254.4,31.8,4680.5,2010.7,0,585.1,73.1,524,160,0,65,8,"existant"
"2101N0101471D","2021-07-26","A","maison",129.3,"Lotissement le Haut des Echets 01700 Miribel","Électricité",1816,663,0,252.6,47.4,4176.8,2150.1,0,581.1,109,479,175,0,67,12,"existant"
"2101N0087345V","2021-07-22","B","maison",89.1,"Chemin du Bresset 01360 Béligneux","Gaz naturel",3290,697,0,177,20.8,3317.3,2260.4,0,407,47.9,479,254,0,64,8,"existant"
"2101N0107071N","2021-07-27","B","maison",114.3,"Chemin du Stade 01310 Saint-Rémy","Gaz naturel",3818,1720,0,247.6,52.1,4106.6,2449,0,569.4,119.9,586,245,0,90,19,"existant"
"2101N0122276I","2021-07-29","A","maison",150,"10 Chemin du Noyant 01800 Saint-Maurice-de-Gourdans","Électricité",2026,626,0,294.7,36.8,4659.8,2030.1,0,677.9,84.7,523,162,0,76,10,"existant"
"2101N0075315D","2021-07-20","A","maison",111,"643 Route de Beauregard 01480 Savigneux","Électricité",1661,498,0,235.3,69.2,3820.3,1615,0,541.1,159.2,452,136,0,64,19,"existant"
"2101N0128852G","2021-08-01","B","maison",45.5,"Route de Barbery 01560 Saint-Jean-sur-Reyssouze","Électricité",1315.5,472.5,0,85.4,0,3025.7,1532.3,0,196.5,0,386.6,138.9,0,14.7,0,"existant"
